Variação,Métricas,Épocas
0.6556470319202968,Train loss,1
0.6054376787372998,Train loss,2
0.5829595210296767,Train loss,3
0.5501658637395926,Train loss,4
0.5005985151231289,Train loss,5
0.44627947756222314,Train loss,6
0.4109312721182193,Train loss,7
0.39055271158260957,Train loss,8
0.3746053643045681,Train loss,9
0.36234658097582206,Train loss,10
0.3507341326773167,Train loss,11
0.341745165980288,Train loss,12
0.3307195465798889,Train loss,13
0.32326441306088655,Train loss,14
0.3145194212081177,Train loss,15
0.3096431860327721,Train loss,16
0.3029308362890567,Train loss,17
0.2966671365126967,Train loss,18
0.28926365494195905,Train loss,19
0.28977848057768174,Train loss,20
0.2835478516242334,Train loss,21
0.27719815501144957,Train loss,22
0.2733949571262513,Train loss,23
0.26547472084739376,Train loss,24
0.26108247659568273,Train loss,25
0.2560366244188377,Train loss,26
0.24928180955350399,Train loss,27
0.24404654238905227,Train loss,28
0.23965288275320615,Train loss,29
0.232951777380492,Train loss,30
0.6526680390749658,Train loss,1
0.6075522770413331,Train loss,2
0.5816715037396976,Train loss,3
0.5444771442455905,Train loss,4
0.49216044907058987,Train loss,5
0.44345915529344765,Train loss,6
0.41329672966684616,Train loss,7
0.3915667799966676,Train loss,8
0.3766125784016081,Train loss,9
0.36149922656161443,Train loss,10
0.3501633308827877,Train loss,11
0.34413488488112176,Train loss,12
0.3376592622058732,Train loss,13
0.32256760144872326,Train loss,14
0.31229031252009526,Train loss,15
0.3038955198654107,Train loss,16
0.29366349955222437,Train loss,17
0.28627599226576944,Train loss,18
0.2773913346816386,Train loss,19
0.27503557917795013,Train loss,20
0.2620594907365739,Train loss,21
0.2544886384106108,Train loss,22
0.24567074786073395,Train loss,23
0.23784240630056178,Train loss,24
0.23063213476379002,Train loss,25
0.22233816113589067,Train loss,26
0.21454994610643813,Train loss,27
0.206602354784097,Train loss,28
0.19802160002091634,Train loss,29
0.19062591419688293,Train loss,30
0.6637794366904668,Train loss,1
0.6124084966523307,Train loss,2
0.5948887822670595,Train loss,3
0.5731831724090236,Train loss,4
0.5347853135849748,Train loss,5
0.47535957333232676,Train loss,6
0.4253117138040917,Train loss,7
0.3951603898299592,Train loss,8
0.37454919530877046,Train loss,9
0.36083226443401406,Train loss,10
0.3489546084670084,Train loss,11
0.3382634864747524,Train loss,12
0.33019076329788993,Train loss,13
0.319961764998734,Train loss,14
0.313103151257549,Train loss,15
0.30659749151340554,Train loss,16
0.29846380300819875,Train loss,17
0.29147608672933917,Train loss,18
0.28366817892662116,Train loss,19
0.2780216449126601,Train loss,20
0.2710330061534686,Train loss,21
0.2651804240473679,Train loss,22
0.2586607528318252,Train loss,23
0.2540628634499652,Train loss,24
0.24688201629955853,Train loss,25
0.23819894021909152,Train loss,26
0.23445940449301686,Train loss,27
0.2252248234009104,Train loss,28
0.21983355782393899,Train loss,29
0.2099597560494606,Train loss,30
0.65255077747362,Train loss,1
0.6121073799686773,Train loss,2
0.5869782731788499,Train loss,3
0.5509490499113288,Train loss,4
0.5074041364235538,Train loss,5
0.4718533253456865,Train loss,6
0.4369479868241719,Train loss,7
0.4088220124585288,Train loss,8
0.38879534552139894,Train loss,9
0.3729669484921864,Train loss,10
0.3584734039221491,Train loss,11
0.34690303468278477,Train loss,12
0.33604197981102124,Train loss,13
0.32907612375382866,Train loss,14
0.32011306374200754,Train loss,15
0.31425296487020593,Train loss,16
0.3066437603959015,Train loss,17
0.3005765511947019,Train loss,18
0.2957676967925259,Train loss,19
0.2912490048046623,Train loss,20
0.2847916330077818,Train loss,21
0.27814788407513075,Train loss,22
0.2731383679966841,Train loss,23
0.26761719520070726,Train loss,24
0.26128882169191325,Train loss,25
0.2570315995200404,Train loss,26
0.25094270191554513,Train loss,27
0.24539696076618775,Train loss,28
